pit_id,src_year,lat_dd,lon_dd,in_aoi,has_coordinates,saxaul_status,label_role,label_strength,label_weight,confidence,evidence_source,role_reason,landform_vegetation,evidence_quote,has_narrative_block,top_salt_sum_salts_pct,prof_salt_sum_salts_pct,top_salt_cl_pct,prof_salt_cl_pct,top_salt_so4_pct,prof_salt_so4_pct,top_salt_na_pct,prof_salt_na_pct,top_salt_alk_hco3_pct,prof_salt_alk_hco3_pct,top_salt_ca_pct,prof_salt_ca_pct,top_salt_mg_pct,prof_salt_mg_pct,top_humus_pct,prof_humus_pct,top_n_total_pct,prof_n_total_pct,top_c_n_ratio,prof_c_n_ratio,top_caco3_pct,prof_caco3_pct,top_caso4_pct,prof_caso4_pct,top_exch_ca,prof_exch_ca,top_exch_mg,prof_exch_mg,top_exch_na,prof_exch_na,top_exch_k,prof_exch_k,top_exch_sum,prof_exch_sum,top_p2o5_mobile,prof_p2o5_mobile,top_k2o_mobile,prof_k2o_mobile,top_ph_water,prof_ph_water,top_sand_pct,prof_sand_pct,top_silt_pct,prof_silt_pct,top_clay_pct,prof_clay_pct,top_physical_clay_lt0p01,prof_physical_clay_lt0p01,top_hygroscopic_water_pct,prof_hygroscopic_water_pct,n_layers,depth_to_moist_cm,depth_to_salt_cm,rust_mottling_flag,gley_flag,solum_depth_cm,hcl_effervescence_class,surface_crust_flag,marine_shell_flag,horizon_salic_flag,horizon_ploughed_flag,rs_ndmi,rs_ndvi,rs_ndwi_nir,rs_ndsi_green_swir2,rs_br_nir_swir2,rs_bi,rs_slope_deg,rs_scl,v5_zone_map,v5_zone_recomputed,v5_zone_name,rs_prod_valid,rs30_ndmi,rs30_msavi,rs30_si,rs30_ndwi,rs30_slope,rs30_twi,rs30_vh,rs30_valid,y_suitable
01/13,2013,46.12963888888889,61.552861111111106,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Волнистая равнина к северу от пос. Аманоткель / полынно-итсигековой растительностью (эфемеры, осочка)","Волнистая равнина к северу от пос. Аманоткель / полынно-итсигековой растительностью (эфемеры, осочка)",True,0.08700000000000001,0.08700000000000001,0.015,0.015,0.015,0.015,0.019,0.019,0.029,0.029,0.004,0.004,0.001,0.001,0.32130434782608697,0.4966666666666667,0.02191304347826087,0.019515151515151517,9.091304347826087,17.63939393939394,2.0608695652173914,1.9395348837209303,,,4.217391304347826,5.96969696969697,2.652173913043478,3.3636363636363638,3.4508695652173915,3.1566666666666667,0.11347826086956524,0.08818181818181818,10.43391304347826,12.57818181818182,,,,,8.995652173913044,8.375471698113207,29.06,29.06,56.84,56.84,14.11,14.11,33.46,33.46,,,6,3.0,0.0,0,0,90.0,2.0,0,0,0,0,,,,,,0.0,0.4745558202266693,0.0,0.0,,Water / NoData / Shadow,False,-0.12485238909721375,0.14497989416122437,2635.45166015625,-0.17752419412136078,,,-60.0,True,0.0
01/14,2014,45.756277777777775,61.54661111111111,True,True,absent_recorded,exclude,,0.0,low,morphology,"agriculture/ploughed land, not candidate terrain",Очень старая залежь,Очень старая залежь,True,0.075,0.075,0.003,0.003,0.027,0.027,0.005,0.005,0.022,0.022,0.011,0.011,0.001,0.001,0.3554545454545454,0.34703703703703703,0.014000000000000002,0.014,14.727272727272727,14.37037037037037,13.759090909090908,16.05744680851064,,,4.068181818181818,4.796296296296297,1.75,1.75,0.28863636363636364,0.3055555555555556,0.26227272727272727,0.2951851851851852,6.390909090909091,7.17037037037037,35.13636363636363,29.925925925925927,244.54545454545453,286.2962962962963,8.918181818181818,8.770212765957446,92.37,92.37,6.010000000000001,6.010000000000001,1.6,1.6,4.41,4.41,0.28,0.28,5,0.0,24.0,1,0,100.0,2.0,0,0,0,0,-0.07557857,0.14011979,-0.23904555,-0.2992409,0.87822884,0.27778107,0.4706631600856781,5.0,10.0,10.0,Existing vegetation,True,-0.0883113369345665,0.13580337166786194,2312.3720703125,-0.15937013924121857,,,-60.0,True,
02/13,2013,46.1435,61.55755555555555,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Высокие видимые поверхности / полынной растительностью,Высокие видимые поверхности / полынной растительностью,True,0.089,0.089,0.017,0.017,0.019,0.019,0.015,0.015,0.024,0.024,0.008,0.008,0.001,0.001,0.629090909090909,0.629090909090909,0.03563636363636364,0.03563636363636364,10.881818181818183,10.881818181818183,2.8454545454545452,2.7047619047619045,,,5.318181818181818,5.318181818181818,3.4545454545454546,3.4545454545454546,1.2481818181818183,1.2481818181818183,0.34,0.34,10.360909090909091,10.360909090909091,,,,,8.354545454545455,8.376190476190477,43.400000000000006,43.400000000000006,47.7,47.7,8.9,8.9,16.98,16.98,,,5,4.0,0.0,0,0,75.0,2.0,0,0,0,0,,,,,,0.0,0.24709931015968323,0.0,0.0,,Water / NoData / Shadow,False,-0.15179325640201569,0.16939909756183624,2255.492919921875,-0.1913161426782608,,,-60.0,True,0.0
02/14,2014,45.71036111111111,61.558416666666666,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Широкая останцовая поверхность / биюргуново-полынная,Широкая останцовая поверхность / биюргуново-полынная,True,0.05600000000000001,0.05600000000000001,0.004,0.004,0.014000000000000002,0.014000000000000002,0.004,0.004,0.02,0.02,0.006,0.006,0.001,0.001,0.456,0.4028571428571429,0.019600000000000003,0.018000000000000002,13.82,13.071428571428571,2.32,1.8666666666666667,,,7.45,7.464285714285714,2.4,2.2857142857142856,0.37799999999999995,0.4671428571428571,0.86,0.7685714285714286,11.1,10.985714285714286,30.6,24.714285714285715,760.0,702.8571428571429,8.88,8.955555555555556,81.4,81.4,10.69,10.69,7.909999999999999,7.909999999999999,11.87,11.87,0.8800000000000001,0.8800000000000001,5,5.0,,0,0,70.0,2.0,0,0,1,0,-0.1573589,0.10526316,-0.18634063,-0.3258819,0.74130666,0.2985663,0.9061431288719177,5.0,10.0,10.0,Existing vegetation,True,-0.1192549616098404,0.15406064689159393,2486.2744140625,-0.1634446382522583,,,-60.0,True,0.0
05/14,2014,45.665305555555555,61.69419444444444,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Широкая депрессия / биюргуновая,Широкая депрессия / биюргуновая,True,0.07,0.07,0.001,0.001,0.024,0.024,0.013,0.013,0.024,0.024,0.004,0.004,0.001,0.001,0.5426923076923077,0.5426923076923077,0.03930769230769231,0.03930769230769231,11.26923076923077,11.26923076923077,2.982142857142857,2.258695652173913,,,9.642857142857142,10.222222222222221,2.4642857142857144,2.5833333333333335,3.2407142857142857,3.7205555555555554,0.12035714285714287,0.09805555555555558,15.453571428571427,16.619444444444444,,,,,8.82857142857143,8.507142857142856,73.08,73.08,24.51,24.51,2.41,2.41,13.26,13.26,2.7,2.7,6,,0.0,0,0,90.0,,1,0,1,0,,,,,,0.0,0.26203233003616333,0.0,0.0,,Water / NoData / Shadow,False,-0.11669921875,0.1633310317993164,2388.701416015625,-0.170684352517128,,,-60.0,True,0.0
06/13,2013,46.200472222222224,61.550666666666665,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Пологобугристые пески с высокой волнистой поверхностью / эфедрево-полынной растительностью,Пологобугристые пески с высокой волнистой поверхностью / эфедрево-полынной растительностью,True,0.05800000000000001,0.05800000000000001,0.004,0.004,0.016,0.016,0.007000000000000001,0.007000000000000001,0.02,0.02,0.006,0.006,0.001,0.001,0.55,0.37,0.04666666666666667,0.039200000000000006,6.233333333333333,4.58,1.7,2.7285714285714286,,,4.333333333333333,4.2,2.0,2.1,0.9433333333333334,0.986,0.29,0.25799999999999995,7.566666666666666,7.54,20.333333333333332,14.2,296.6666666666667,270.0,8.9,8.871428571428572,80.24,80.24,16.13,16.13,3.63,3.63,12.1,12.1,0.82,0.82,4,0.0,,0,0,75.0,2.0,0,0,0,0,,,,,,0.0,1.3813610076904297,0.0,0.0,,Water / NoData / Shadow,False,-0.1666261851787567,0.19350683689117432,2124.376953125,-0.21580439805984497,,,-60.0,True,0.0
07/13,2013,46.14347222222222,61.49341666666667,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность спускающаяся к р. Сырдарье / эбелеково-полынной растительностью,Плоская поверхность спускающаяся к р. Сырдарье / эбелеково-полынной растительностью,True,0.189,0.189,0.054,0.054,0.052,0.052,0.043,0.043,0.017,0.017,0.013,0.013,0.002,0.002,0.39875,0.3530555555555555,0.045500000000000006,0.03966666666666667,5.358333333333334,5.383333333333334,2.6791666666666667,3.641304347826087,0.1,0.13333333333333333,5.239583333333333,5.631944444444445,2.84375,3.1875,1.1991666666666667,1.2361111111111112,0.3991666666666666,0.3583333333333333,9.679166666666667,10.419444444444444,9.083333333333334,8.444444444444445,450.0,427.22222222222223,8.4,8.530434782608696,71.27,71.27,25.1,25.1,3.64,3.64,19.43,19.43,1.81,1.81,5,0.0,,0,0,75.0,2.0,0,0,0,0,,,,,,0.0,0.40284237265586853,0.0,0.0,,Water / NoData / Shadow,False,-0.14721515774726868,0.17017056047916412,2313.520263671875,-0.20039036870002747,,,-60.0,True,0.0
07/14,2014,45.71069444444445,61.736222222222224,True,True,absent_recorded,exclude,,0.0,low,morphology,"floodplain/reed/chingil wetland, not candidate terrain",Плоская поверхность / тростниковая с чингилем,Плоская поверхность / тростниковая с чингилем,True,5.154,5.154,0.10300000000000001,0.10300000000000001,3.403,3.403,1.32,1.32,0.037,0.037,0.19,0.19,0.087,0.087,1.26,1.26,0.07280000000000002,0.07280000000000002,9.76,9.76,18.44,19.31111111111111,,,7.1,7.1,25.25,25.25,3.32,3.32,0.322,0.322,35.98,35.98,,,,,8.9,8.922222222222222,22.55,22.55,72.17999999999999,72.17999999999999,5.27,5.27,34.06,34.06,1.3,1.3,5,5.0,0.0,0,0,90.0,2.0,0,0,0,0,,,,,,0.0,0.6422827839851379,0.0,0.0,,Water / NoData / Shadow,False,0.0905289575457573,0.6414436101913452,759.5360717773438,-0.47803911566734314,,,-60.0,True,
08/13,2013,46.066750000000006,61.10333333333333,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Выбитые, но закрепленные пески / полынно-осочковой с эбелеком и ирисом растительностью","Выбитые, но закрепленные пески / полынно-осочковой с эбелеком и ирисом растительностью",True,0.048,0.048,0.003,0.003,0.011,0.011,0.005,0.005,0.02,0.02,0.005,0.005,0.001,0.001,0.184,0.16999999999999998,0.05040000000000001,0.04666666666666667,2.14,2.1333333333333333,1.96,3.6384615384615384,,,3.0,3.0833333333333335,2.0,2.0,0.976,1.01,0.278,0.30666666666666664,6.26,6.4,7.8,7.0,270.0,286.6666666666667,8.96,8.823076923076924,83.9,83.9,11.67,11.67,4.43,4.43,8.85,8.85,0.58,0.58,4,0.0,,0,0,80.0,,0,0,0,0,,,,,,0.0,1.003322720527649,0.0,0.0,,Water / NoData / Shadow,False,-0.1374756395816803,0.19576337933540344,2467.955322265625,-0.20873786509037018,,,-60.0,True,0.0
08/14,2014,45.663666666666664,61.71058333333334,True,True,absent_recorded,negative,strong,1.0,low,morphology,"genuinely barren ground, no vegetation",Широкая депрессия / Такыр без растительности,Широкая депрессия / Такыр без растительности,True,0.43,0.43,0.027000000000000003,0.027000000000000003,0.161,0.161,0.095,0.095,0.11200000000000002,0.11200000000000002,0.01,0.01,0.012,0.012,0.30428571428571427,0.30428571428571427,0.033,0.033,5.678571428571429,5.678571428571429,3.7142857142857144,3.7142857142857144,,,12.035714285714286,12.035714285714286,3.1607142857142856,3.1607142857142856,25.071428571428573,25.071428571428573,0.2664285714285714,0.2664285714285714,40.521428571428565,40.521428571428565,,,,,8.7125,8.355882352941178,20.85,20.85,35.47,35.47,43.7,43.7,54.11999999999999,54.11999999999999,2.9,2.9,4,,14.0,0,0,40.0,,1,0,0,0,,,,,,0.0,8.32680892944336,0.0,0.0,,Water / NoData / Shadow,False,0.000958037911914289,0.05703926086425781,4087.060791015625,-0.0898091197013855,,,-60.0,True,0.0
